Date,Time,Open,High,Low,Close,Tick.Count,POSIXct
2016/5/4,17:37:00,9828.25,9828.25,9828.25,9828.25,60,2016/5/4 17:37
2016/5/4,17:38:00,9828.25,9828.25,9828.25,9828.25,60,2016/5/4 17:38
2016/5/4,17:39:00,9828.25,9828.25,9828.25,9828.25,60,2016/5/4 17:39
2016/5/4,17:40:00,9828.25,9828.25,9828.25,9828.25,60,2016/5/4 17:40
2016/5/4,17:41:00,9828.25,9828.25,9828.25,9828.25,60,2016/5/4 17:41
2016/5/4,17:42:00,9828.25,9828.25,9828.25,9828.25,60,2016/5/4 17:42
2016/5/4,17:43:00,9828.25,9828.25,9828.25,9828.25,60,2016/5/4 17:43
2016/5/4,17:44:00,9828.25,9828.25,9828.25,9828.25,60,2016/5/4 17:44
2016/5/4,17:45:00,9828.25,9828.25,9828.25,9828.25,60,2016/5/4 17:45
2016/5/5,17:37:00,9851.86,9851.86,9851.86,9851.86,60,2016/5/5 17:37
2016/5/5,17:38:00,9851.86,9851.86,9851.86,9851.86,60,2016/5/5 17:38
2016/5/5,17:39:00,9851.86,9851.86,9851.86,9851.86,60,2016/5/5 17:39
2016/5/5,17:40:00,9851.86,9851.86,9851.86,9851.86,60,2016/5/5 17:40
2016/5/5,17:41:00,9851.86,9851.86,9851.86,9851.86,60,2016/5/5 17:41
2016/5/5,17:42:00,9851.86,9851.86,9851.86,9851.86,60,2016/5/5 17:42
2016/5/5,17:43:00,9851.86,9851.86,9851.86,9851.86,60,2016/5/5 17:43
2016/5/5,17:44:00,9851.86,9851.86,9851.86,9851.86,60,2016/5/5 17:44
2016/5/5,17:45:00,9851.86,9851.86,9851.86,9851.86,60,2016/5/5 17:45
2016/5/6,17:37:00,9869.95,9869.95,9869.95,9869.95,60,2016/5/6 17:37
2016/5/6,17:38:00,9869.95,9869.95,9869.95,9869.95,60,2016/5/6 17:38
2016/5/6,17:39:00,9869.95,9869.95,9869.95,9869.95,60,2016/5/6 17:39
2016/5/6,17:40:00,9869.95,9869.95,9869.95,9869.95,60,2016/5/6 17:40
2016/5/6,17:41:00,9869.95,9869.95,9869.95,9869.95,60,2016/5/6 17:41
2016/5/6,17:42:00,9869.95,9869.95,9869.95,9869.95,60,2016/5/6 17:42
2016/5/6,17:43:00,9869.95,9869.95,9869.95,9869.95,60,2016/5/6 17:43
2016/5/6,17:44:00,9869.95,9869.95,9869.95,9869.95,60,2016/5/6 17:44
2016/5/6,17:45:00,9869.95,9869.95,9869.95,9869.95,60,2016/5/6 17:45
2016/5/9,17:37:00,9980.49,9980.49,9980.49,9980.49,60,2016/5/9 17:37
2016/5/9,17:38:00,9980.49,9980.49,9980.49,9980.49,60,2016/5/9 17:38
2016/5/9,17:39:00,9980.49,9980.49,9980.49,9980.49,60,2016/5/9 17:39
2016/5/9,17:40:00,9980.49,9980.49,9980.49,9980.49,60,2016/5/9 17:40
2016/5/9,17:41:00,9980.49,9980.49,9980.49,9980.49,60,2016/5/9 17:41
2016/5/9,17:42:00,9980.49,9980.49,9980.49,9980.49,60,2016/5/9 17:42
2016/5/9,17:43:00,9980.49,9980.49,9980.49,9980.49,60,2016/5/9 17:43
2016/5/9,17:44:00,9980.49,9980.49,9980.49,9980.49,60,2016/5/9 17:44
2016/5/9,17:45:00,9980.49,9980.49,9980.49,9980.49,60,2016/5/9 17:45
2016/5/10,17:37:00,10045.44,10045.44,10045.44,10045.44,60,2016/5/10 17:37
2016/5/10,17:38:00,10045.44,10045.44,10045.44,10045.44,60,2016/5/10 17:38
2016/5/10,17:39:00,10045.44,10045.44,10045.44,10045.44,60,2016/5/10 17:39
2016/5/10,17:40:00,10045.44,10045.44,10045.44,10045.44,60,2016/5/10 17:40
2016/5/10,17:41:00,10045.44,10045.44,10045.44,10045.44,60,2016/5/10 17:41
2016/5/10,17:42:00,10045.44,10045.44,10045.44,10045.44,60,2016/5/10 17:42
2016/5/10,17:43:00,10045.44,10045.44,10045.44,10045.44,60,2016/5/10 17:43
2016/5/10,17:44:00,10045.44,10045.44,10045.44,10045.44,60,2016/5/10 17:44
2016/5/10,17:45:00,10045.44,10045.44,10045.44,10045.44,60,2016/5/10 17:45
2016/5/11,17:37:00,9975.32,9975.32,9975.32,9975.32,60,2016/5/11 17:37
2016/5/11,17:38:00,9975.32,9975.32,9975.32,9975.32,60,2016/5/11 17:38
2016/5/11,17:39:00,9975.32,9975.32,9975.32,9975.32,60,2016/5/11 17:39
2016/5/11,17:40:00,9975.32,9975.32,9975.32,9975.32,60,2016/5/11 17:40
2016/5/11,17:41:00,9975.32,9975.32,9975.32,9975.32,60,2016/5/11 17:41
2016/5/11,17:42:00,9975.32,9975.32,9975.32,9975.32,60,2016/5/11 17:42
2016/5/11,17:43:00,9975.32,9975.32,9975.32,9975.32,60,2016/5/11 17:43
2016/5/11,17:44:00,9975.32,9975.32,9975.32,9975.32,60,2016/5/11 17:44
2016/5/11,17:45:00,9975.32,9975.32,9975.32,9975.32,60,2016/5/11 17:45
2016/5/12,17:37:00,9862.12,9862.12,9862.12,9862.12,60,2016/5/12 17:37
2016/5/12,17:38:00,9862.12,9862.12,9862.12,9862.12,60,2016/5/12 17:38
2016/5/12,17:39:00,9862.12,9862.12,9862.12,9862.12,60,2016/5/12 17:39
2016/5/12,17:40:00,9862.12,9862.12,9862.12,9862.12,60,2016/5/12 17:40
2016/5/12,17:41:00,9862.12,9862.12,9862.12,9862.12,60,2016/5/12 17:41
2016/5/12,17:42:00,9862.12,9862.12,9862.12,9862.12,60,2016/5/12 17:42
2016/5/12,17:43:00,9862.12,9862.12,9862.12,9862.12,60,2016/5/12 17:43
2016/5/12,17:44:00,9862.12,9862.12,9862.12,9862.12,60,2016/5/12 17:44
2016/5/12,17:45:00,9862.12,9862.12,9862.12,9862.12,60,2016/5/12 17:45
2016/5/13,17:37:00,9952.9,9952.9,9952.9,9952.9,60,2016/5/13 17:37
2016/5/13,17:38:00,9952.9,9952.9,9952.9,9952.9,60,2016/5/13 17:38
2016/5/13,17:39:00,9952.9,9952.9,9952.9,9952.9,60,2016/5/13 17:39
2016/5/13,17:40:00,9952.9,9952.9,9952.9,9952.9,60,2016/5/13 17:40
2016/5/13,17:41:00,9952.9,9952.9,9952.9,9952.9,60,2016/5/13 17:41
2016/5/13,17:42:00,9952.9,9952.9,9952.9,9952.9,60,2016/5/13 17:42
2016/5/13,17:43:00,9952.9,9952.9,9952.9,9952.9,60,2016/5/13 17:43
2016/5/13,17:44:00,9952.9,9952.9,9952.9,9952.9,60,2016/5/13 17:44
2016/5/13,17:45:00,9952.9,9952.9,9952.9,9952.9,60,2016/5/13 17:45
2016/5/17,17:37:00,9890.19,9890.19,9890.19,9890.19,60,2016/5/17 17:37
2016/5/17,17:38:00,9890.19,9890.19,9890.19,9890.19,60,2016/5/17 17:38
2016/5/17,17:39:00,9890.19,9890.19,9890.19,9890.19,60,2016/5/17 17:39
2016/5/17,17:40:00,9890.19,9890.19,9890.19,9890.19,60,2016/5/17 17:40
2016/5/17,17:41:00,9890.19,9890.19,9890.19,9890.19,60,2016/5/17 17:41
2016/5/17,17:42:00,9890.19,9890.19,9890.19,9890.19,60,2016/5/17 17:42
2016/5/17,17:43:00,9890.19,9890.19,9890.19,9890.19,60,2016/5/17 17:43
2016/5/17,17:44:00,9890.19,9890.19,9890.19,9890.19,60,2016/5/17 17:44
2016/5/17,17:45:00,9890.19,9890.19,9890.19,9890.19,60,2016/5/17 17:45
2016/5/18,17:37:00,9943.23,9943.23,9943.23,9943.23,60,2016/5/18 17:37
2016/5/18,17:38:00,9943.23,9943.23,9943.23,9943.23,60,2016/5/18 17:38
2016/5/18,17:39:00,9943.23,9943.23,9943.23,9943.23,60,2016/5/18 17:39
2016/5/18,17:40:00,9943.23,9943.23,9943.23,9943.23,60,2016/5/18 17:40
2016/5/18,17:41:00,9943.23,9943.23,9943.23,9943.23,60,2016/5/18 17:41
2016/5/18,17:42:00,9943.23,9943.23,9943.23,9943.23,60,2016/5/18 17:42
2016/5/18,17:43:00,9943.23,9943.23,9943.23,9943.23,60,2016/5/18 17:43
2016/5/18,17:44:00,9943.23,9943.23,9943.23,9943.23,60,2016/5/18 17:44
2016/5/18,17:45:00,9943.23,9943.23,9943.23,9943.23,60,2016/5/18 17:45
